Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
GBP,1.3,-289650339.7019323,4791.013924685358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.305,-534906391.81252426,8558.502269000388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.31,-132022914.84132922,2834.7636860045486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.315,-1450109864.76901,23530.487956190686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.317,-16976558.53378912,271.6249365406259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.32,-2972934583.183677,58468.162562521524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.322,-195180719.0123994,3122.8915041983905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.325,-5091201583.544209,84232.37464048676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.327,-273290117.9228406,4372.64188676545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.33,-1379513563.9580235,22864.78532475412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.332,-1472340828.7793965,23557.453260470345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.335,-589266464.5514827,73542.75768951981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.337,-1802988548.6030624,38845.831560108265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.34,-3279490449.6809983,115656.46876951137,0.0,0.0,0.0025,1.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.342,395518889.22775996,40374.22240848767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.345,-6753116130.590665,166159.74868746736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.347,-1491950126.3256903,67973.77961432282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.35,4452642174.798944,125923.40444490993,0.0018,2.0,0.0,0.0,0.0,0.0,0.008199999999999999,2036.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.352,291460118.5975855,4663.361897561368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.355,4391815934.017391,113020.75043654181,0.0,0.0,0.0,0.0,0.0011,2109.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.357,173481105.25588197,2775.6976840941115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.36,3800923244.610022,68508.71072783096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.362,778880230.43449,12462.08368695184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.365,1211532166.7822144,31730.605062454477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.367,136557513.04112953,2184.920208658072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
