Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month
EUR,1.125,-585286338.8427861,4682.290710742288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.13,-2475397053.669604,19809.244738981713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.135,-1645013972.344633,13170.17020446944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.14,-109582479.40792085,930.055055505745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1425,-38185296.34382301,305.48237075058404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.145,-5964129344.53006,47781.73169130338,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,3755.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1475,-74543178.1899871,596.3454255198968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.15,-562060641.0409697,7139.568873126486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1525,-154929670.111213,1239.437360889704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.155,-720121589.6995486,5837.701498320445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1575,3322856.96307091,287.21972082435906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.16,1401072233.9505556,13941.965562707594,0.040999999999999995,6.0,0.0015,37.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1625,-143584511.59637147,1775.3093980361407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.165,-1095652780.42012,19598.700861582798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1675,-217381449.11100653,2356.3717009884444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.17,-30019983561.89699,328197.84469720436,0.0,0.0,0.0,0.0,0.076,11916.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1725,14072639022.700605,228412.91900383792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.175,14921905850.296892,123927.84138399476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.1775,841750202.2711353,6866.782045515155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
